,winner,loser,match score
3002,Yuichi Sugita,Jack Sock,75 64 
3003,John Isner,Viktor Troicki,763 64 
3004,Sam Querrey,Stefan Kozlov,63 60 
3005,Gilles Muller,Ryan Harrison,64 57 763 
3006,Nikoloz Basilashvili,Borna Coric,63 765 
3007,Alexandr Dolgopolov,Kevin Anderson,64 766 
3008,David Ferrer,Steve Johnson,61 57 63 
3009,Fabio Fognini,Daniil Medvedev,765 64 
3010,Richard Gasquet,John-Patrick Smith,64 64 
3011,Ivo Karlovic,Jiri Vesely,63 36 75 
3012,Karen Khachanov,Diego Schwartzman,61 16 63 
3013,Mitchell Krueger,Benoit Paire,62 61 
3014,Feliciano Lopez,Hyeon Chung,765 61 
3015,Adrian Mannarino,Robin Haase,26 768 62 
3016,Tommy Paul,Donald Young,64 764 
3017,Ramkumar Ramanathan,Christopher Eubanks,675 61 64 
3018,Albert Ramos-Vinolas,Mikhail Youzhny,62 36 63 
3019,Joao Sousa,Kyle Edmund,63 26 63 
3020,Frances Tiafoe,Maximilian Marterer,63 762 
3021,Mischa Zverev,Fernando Verdasco,64 64 
3022,Joao Sousa,Ante Pavic,64 62 
3023,Christopher Eubanks,Janko Tipsarevic,63 64 
3024,Alexandr Dolgopolov,Mackenzie McDonald,63 64 
3025,Mitchell Krueger,Thomas Fabbiano,60 64 
3026,Mikhail Youzhny,Ernests Gulbis,46 61 64 
3027,Maximilian Marterer,Ramkumar Ramanathan,766 762 
3028,John-Patrick Smith,Christian Harrison,26 63 63 
3029,Joao Sousa,Tim Smyczek,62 63 
3030,Ernests Gulbis,Andrey Rublev,62 64 
3031,Janko Tipsarevic,John Mcnally,57 61 765 
3032,Ramkumar Ramanathan,Dusan Lajovic,761 64 
3033,Alexandr Dolgopolov,Reilly Opelka,64 46 762 
3034,John-Patrick Smith,Vasek Pospisil,64 64 
3035,Mitchell Krueger,Malek Jaziri,26 64 62 
3036,Mackenzie McDonald,Denis Istomin,64 62 
3037,Ante Pavic,Ernesto Escobedo,75 62 
3038,Christian Harrison,Julien Benneteau,62 26 63 
3039,Thomas Fabbiano,Nikola Mektic,75 64 
3040,Mikhail Youzhny,Radu Albot,46 64 60 
3041,Christopher Eubanks,Bjorn Fratangelo,765 36 767 
3042,Maximilian Marterer,Prajnesh Gunneswaran,62 762 
3043,Roberto Bautista Agut,Damir Dzumhur,64 64 
3044,Roberto Bautista Agut,Jan-Lennard Struff,62 64 
3045,Damir Dzumhur,Kyle Edmund,16 75 63 
3046,Roberto Bautista Agut,Taylor Fritz,62 763 
3047,Kyle Edmund,Steve Johnson,57 63 63 
3048,Damir Dzumhur,Hyeon Chung,64 62 
3049,Jan-Lennard Struff,Borna Coric,64 762 
3050,Roberto Bautista Agut,Marcos Baghdatis,63 64 
3051,Borna Coric,John Isner,75 62 
3052,Steve Johnson,Carlos Berlocq,761 64 
3053,Taylor Fritz,Paolo Lorenzi,763 765 
3054,Hyeon Chung,Julien Benneteau,64 11 (RET)
3055,Damir Dzumhur,Horacio Zeballos,75 63 
3056,Kyle Edmund,Marton Fucsovics,62 61 
3057,Jan-Lennard Struff,Andreas Seppi,63 673 763 
3058,Roberto Bautista Agut,Dusan Lajovic,64 63 
3059,Julien Benneteau,Pablo Carreno Busta,765 675 63 
3060,John Isner,Andrey Kuznetsov,26 765 63 
3061,Jan-Lennard Struff,Pablo Cuevas,762 75 
3062,Steve Johnson,Yen-Hsun Lu,64 63 
3063,Paolo Lorenzi,Thiago Monteiro,26 64 64 
3064,Horacio Zeballos,Fernando Verdasco,36 75 64 
3065,Damir Dzumhur,Gilles Simon,64 16 64 
3066,Taylor Fritz,Yuichi Sugita,63 62 
3067,Carlos Berlocq,Viktor Troicki,36 61 62 
3068,Andreas Seppi,Aljaz Bedene,64 75 
3069,Hyeon Chung,Andrey Rublev,57 61 61 
3070,Borna Coric,Donald Young,46 64 62 
3071,Kyle Edmund,Daniil Medvedev,26 62 766 
3072,Marcos Baghdatis,Jiri Vesely,62 763 
3073,Marton Fucsovics,Joao Sousa,63 36 61 
3074,Marcos Baghdatis,Ricardas Berankis,75 75 
3075,Julien Benneteau,Pierre-Hugues Herbert,63 62 
3076,Carlos Berlocq,Alex Bolt,62 64 
3077,Damir Dzumhur,Denis Istomin,64 64 
3078,Kyle Edmund,Thomas Fabbiano,62 63 
3079,Taylor Fritz,Malek Jaziri,46 64 63 
3080,Marton Fucsovics,Ernests Gulbis,761 62 
3081,Andrey Kuznetsov,Nicolas Kicker,75 62 
3082,Dusan Lajovic,Petros Chrysochos,62 63 
3083,Yen-Hsun Lu,Jonathan Eysseric,62 61 
3084,Thiago Monteiro,Alexandr Dolgopolov,63 63 
3085,Andrey Rublev,Steve Darcis,64 64 
3086,Andreas Seppi,Janko Tipsarevic,62 62 
3087,Jan-Lennard Struff,Norbert Gombos,763 764 
3088,Donald Young,Rogerio Dutra Silva,64 62 
3089,Horacio Zeballos,Dominik Koepfer,62 61 
3090,Kyle Edmund,Jonathan Eysseric,63 61 
3091,Rogerio Dutra Silva,Dominik Koepfer,64 64 
3092,Marton Fucsovics,Kevin King,62 64 
3093,Alex Bolt,Borna Gojo,60 36 61 
3094,Kyle Edmund,Max Purcell,762 64 
3095,Rogerio Dutra Silva,Gonzalo Escobar,46 764 75 
3096,Borna Gojo,Ruben Bemelmans,763 36 766 
3097,Marton Fucsovics,Nicolaas Scholtz,61 62 
3098,Kevin King,Alex de Minaur,61 62 
3099,Dominik Koepfer,Franko Skugor,26 764 63 
3100,Jonathan Eysseric,Facundo Mena,63 64 
3101,Alex Bolt,Skander Mansouri,7612 62 
3102,Rafael Nadal,Kevin Anderson,63 63 64 
3103,Rafael Nadal,Juan Martin del Potro,46 60 63 62 
3104,Kevin Anderson,Pablo Carreno Busta,46 75 63 64 
3105,Rafael Nadal,Andrey Rublev,61 62 62 
3106,Juan Martin del Potro,Roger Federer,75 36 768 64 
3107,Pablo Carreno Busta,Diego Schwartzman,64 64 62 
3108,Kevin Anderson,Sam Querrey,765 679 63 767 
3109,Rafael Nadal,Alexandr Dolgopolov,62 64 61 
3110,Roger Federer,Philipp Kohlschreiber,64 62 75 
3111,Juan Martin del Potro,Dominic Thiem,16 26 61 761 64 
3112,Andrey Rublev,David Goffin,75 765 63 
3113,Pablo Carreno Busta,Denis Shapovalov,762 764 763 
3114,Diego Schwartzman,Lucas Pouille,763 75 26 62 
3115,Sam Querrey,Mischa Zverev,62 62 61 
3116,Kevin Anderson,Paolo Lorenzi,64 63 674 64 
3117,Rafael Nadal,Leonardo Mayer,673 63 61 64 
3118,Roger Federer,Feliciano Lopez,63 63 75 
3119,Diego Schwartzman,Marin Cilic,46 75 75 64 
3120,Dominic Thiem,Adrian Mannarino,75 63 64 
3121,David Goffin,Gael Monfils,75 51 (RET)
3122,Mischa Zverev,John Isner,64 63 765 
3123,Juan Martin del Potro,Roberto Bautista Agut,63 63 64 
3124,Pablo Carreno Busta,Nicolas Mahut,63 64 63 
3125,Lucas Pouille,Mikhail Kukushkin,26 63 64 64 
3126,Sam Querrey,Radu Albot,46 62 64 64 
3127,Kevin Anderson,Borna Coric,64 63 62 
3128,Philipp Kohlschreiber,John Millman,75 62 64 
3129,Alexandr Dolgopolov,Viktor Troicki,61 60 64 
3130,Paolo Lorenzi,Thomas Fabbiano,62 64 64 
3131,Andrey Rublev,Damir Dzumhur,64 64 57 64 
3132,Denis Shapovalov,Kyle Edmund,36 63 63 10 
3133,Rafael Nadal,Taro Daniel,46 63 62 62 
3134,Roger Federer,Mikhail Youzhny,61 673 46 64 62 
3135,Borna Coric,Alexander Zverev,36 75 761 764 
3136,Marin Cilic,Florian Mayer,63 63 63 
3137,Dominic Thiem,Taylor Fritz,64 64 46 75 
3138,Andrey Rublev,Grigor Dimitrov,75 763 63 
3139,Denis Shapovalov,Jo-Wilfried Tsonga,64 64 763 
3140,David Goffin,Guido Pella,36 765 672 764 63 
3141,John Isner,Hyeon Chung,63 64 75 
3142,Roberto Bautista Agut,Dustin Brown,61 63 763 
3143,Pablo Carreno Busta,Cameron Norrie,62 64 63 
3144,Alexandr Dolgopolov,Tomas Berdych,36 61 765 62 
3145,Lucas Pouille,Jared Donaldson,75 64 46 36 64 
3146,Sam Querrey,Dudi Sela,64 61 64 
3147,Gael Monfils,Donald Young,63 673 64 26 75 
3148,Paolo Lorenzi,Gilles Muller,674 63 764 63 
3149,Nicolas Mahut,Albert Ramos-Vinolas,46 64 46 63 60 
3150,Mischa Zverev,Benoit Paire,63 62 36 673 75 
3151,Juan Martin del Potro,Adrian Menendez-Maceiras,62 63 763 
3152,Kevin Anderson,Ernests Gulbis,63 75 64 
3153,Diego Schwartzman,Janko Tipsarevic,62 64 75 
3154,Adrian Mannarino,Bjorn Fratangelo,63 674 61 62 
3155,Feliciano Lopez,Fernando Verdasco,63 62 36 61 
3156,Philipp Kohlschreiber,Santiago Giraldo,62 61 30 (RET)
3157,Radu Albot,Yen-Hsun Lu,62 767 57 06 762 
3158,Damir Dzumhur,Cedrik-Marcel Stebe,46 64 60 61 
3159,Kyle Edmund,Steve Johnson,75 62 764 
3160,Thomas Fabbiano,Jordan Thompson,26 62 36 64 62 
3161,Mikhail Kukushkin,Evgeny Donskoy,64 64 75 
3162,Leonardo Mayer,Yuichi Sugita,673 64 63 64 
3163,John Millman,Malek Jaziri,61 761 61 
3164,Viktor Troicki,Stefano Travaglia,766 75 60 
3165,Rafael Nadal,Dusan Lajovic,766 62 62 
3166,Roger Federer,Frances Tiafoe,46 62 61 16 64 
3167,Alexander Zverev,Darian King,769 75 64 
3168,Marin Cilic,Tennys Sandgren,64 63 36 63 
3169,Dominic Thiem,Alex de Minaur,64 61 61 
3170,Grigor Dimitrov,Vaclav Safranek,61 64 62 
3171,Jo-Wilfried Tsonga,Marius Copil,63 63 64 
3172,David Goffin,Julien Benneteau,64 26 64 62 
3173,John Isner,Pierre-Hugues Herbert,61 63 46 63 
3174,Roberto Bautista Agut,Andreas Seppi,62 46 62 761 
3175,Pablo Carreno Busta,Evan King,63 62 765 
3176,Jordan Thompson,Jack Sock,62 7612 16 57 64 
3177,John Millman,Nick Kyrgios,63 16 64 61 
3178,Tomas Berdych,Ryan Harrison,64 62 764 
3179,Lucas Pouille,Ruben Bemelmans,63 64 64 
3180,Sam Querrey,Gilles Simon,64 63 64 
3181,Gael Monfils,Jeremy Chardy,766 63 64 
3182,Gilles Muller,Bernard Tomic,36 63 64 64 
3183,Albert Ramos-Vinolas,Denis Istomin,46 764 75 673 75 
3184,Mikhail Kukushkin,David Ferrer,46 63 62 61 
3185,Stefano Travaglia,Fabio Fognini,64 768 36 60 
3186,Mischa Zverev,Thai-Son Kwiatkowski,765 46 46 75 63 
3187,Juan Martin del Potro,Henri Laaksonen,64 763 765 
3188,Yen-Hsun Lu,Karen Khachanov,46 62 63 63 
3189,Leonardo Mayer,Richard Gasquet,36 62 64 62 
3190,Damir Dzumhur,Pablo Cuevas,75 763 61 
3191,Kevin Anderson,JC Aragone,63 63 61 
3192,Diego Schwartzman,Carlos Berlocq,62 61 63 
3193,Adrian Mannarino,Ricardas Berankis,62 64 62 
3194,Feliciano Lopez,Andrey Kuznetsov,64 764 675 62 
3195,Kyle Edmund,Robin Haase,63 75 63 
3196,Philipp Kohlschreiber,Tim Smyczek,61 64 64 
3197,Radu Albot,Ernesto Escobedo,75 46 62 64 
3198,Dustin Brown,Thomaz Bellucci,64 63 62 
3199,Hyeon Chung,Horacio Zeballos,36 768 64 63 
3200,Borna Coric,Jiri Vesely,765 762 62 
3201,Taro Daniel,Tommy Paul,61 46 46 62 62 
3202,Alexandr Dolgopolov,Jan-Lennard Struff,36 63 62 16 63 
3203,Jared Donaldson,Nikoloz Basilashvili,60 46 63 766 
3204,Evgeny Donskoy,Andreas Haider-Maurer,763 51 (RET)
3205,Thomas Fabbiano,John-Patrick Smith,765 64 36 764 
3206,Bjorn Fratangelo,Ivo Karlovic,762 64 36 764 
3207,Taylor Fritz,Marcos Baghdatis,64 64 63 
3208,Santiago Giraldo,Vincent Millot,61 60 46 46 64 
3209,Ernests Gulbis,Alessandro Giannessi,64 673 62 75 
3210,Malek Jaziri,Thiago Monteiro,765 46 63 57 64 
3211,Steve Johnson,Nicolas Almagro,64 762 765 
3212,Paolo Lorenzi,Joao Sousa,46 63 764 62 
3213,Nicolas Mahut,Marton Fucsovics,63 26 64 26 763 
3214,Florian Mayer,Rogerio Dutra Silva,75 06 63 64 
3215,Adrian Menendez-Maceiras,Patrick Kypson,64 769 61 
3216,Cameron Norrie,Dmitry Tursunov,767 61 (RET)
3217,Benoit Paire,Lukas Lacko,63 62 765 
3218,Guido Pella,Steve Darcis,61 62 60 
3219,Andrey Rublev,Aljaz Bedene,61 64 64 
3220,Dudi Sela,Christopher Eubanks,62 64 62 
3221,Denis Shapovalov,Daniil Medvedev,75 61 62 
3222,Cedrik-Marcel Stebe,Nicolas Kicker,57 63 61 61 
3223,Yuichi Sugita,Geoffrey Blancaneaux,62 62 60 
3224,Janko Tipsarevic,Thanasi Kokkinakis,675 36 61 762 63 
3225,Viktor Troicki,Norbert Gombos,36 63 36 64 63 
3226,Fernando Verdasco,Vasek Pospisil,62 (RET)
3227,Donald Young,Maximilian Marterer,63 16 61 64 
3228,Mikhail Youzhny,Blaz Kavcic,63 57 64 63 
3229,Peter Gojowczyk,Benoit Paire,75 62 
3230,Peter Gojowczyk,Mischa Zverev,63 10 (RET)
3231,Benoit Paire,Nikoloz Basilashvili,61 765 
3232,Benoit Paire,David Goffin,763 57 767 
3233,Mischa Zverev,Kenny De Schepper,75 764 
3234,Nikoloz Basilashvili,Denis Istomin,75 63 
3235,Peter Gojowczyk,Marius Copil,62 64 
3236,David Goffin,Nicolas Almagro,36 63 63 
3237,Marius Copil,Lucas Pouille,764 766 
3238,Nikoloz Basilashvili,Gilles Muller,64 64 
3239,Mischa Zverev,Henri Laaksonen,64 64 
3240,Benoit Paire,Marcel Granollers,61 62 
3241,Peter Gojowczyk,Gilles Simon,64 764 
3242,Kenny De Schepper,Nicolas Mahut,64 75 
3243,Denis Istomin,Yannick Maden,63 676 760 
3244,Mischa Zverev,Pierre-Hugues Herbert,673 63 62 
3245,Denis Istomin,Richard Gasquet,16 64 64 
3246,Benoit Paire,Stefanos Tsitsipas,62 64 
3247,Gilles Simon,Andreas Seppi,63 60 
3248,Nicolas Almagro,Julien Benneteau,763 75 
3249,Nikoloz Basilashvili,Vincent Millot,26 765 64 
3250,Marius Copil,Alessandro Giannessi,63 62 
3251,Peter Gojowczyk,Norbert Gombos,36 764 63 
3252,Marcel Granollers,Simone Bolelli,769 36 768 
3253,Henri Laaksonen,Paul-Henri Mathieu,75 62 
3254,Yannick Maden,Nicolas Kicker,64 36 63 
3255,Nicolas Mahut,Dustin Brown,61 764 
3256,Peter Gojowczyk,Yannick Mertens,63 64 
3257,Stefanos Tsitsipas,Yannick Maden,64 677 63 
3258,Vincent Millot,Kenny De Schepper,75 766 
3259,Simone Bolelli,Ugo Humbert,36 764 765 
3260,Peter Gojowczyk,Gleb Sakharov,64 62 
3261,Stefanos Tsitsipas,Roberto Ortega-Olmedo,62 75 
3262,Vincent Millot,Bernabe Zapata Miralles,75 64 
3263,Yannick Maden,Hugo Schott,62 75 
3264,Yannick Mertens,Calvin Hemery ,75 61 
3265,Simone Bolelli,Tobias Kamke,764 63 
3266,Kenny De Schepper,Axel Michon,61 62 
3267,Ugo Humbert,Guillermo Duran,26 61 765 
3268,Damir Dzumhur,Fabio Fognini,36 64 62 
3269,Fabio Fognini,Roberto Bautista Agut,26 767 765 
3270,Damir Dzumhur,Jan-Lennard Struff,63 75 
3271,Roberto Bautista Agut,Viktor Troicki,61 62 
3272,Jan-Lennard Struff,Jo-Wilfried Tsonga,36 63 62 
3273,Fabio Fognini,Ricardas Berankis,63 60 
3274,Damir Dzumhur,Liam Broady,63 26 64 
3275,Roberto Bautista Agut,Rogerio Dutra Silva,64 46 60 
3276,Jo-Wilfried Tsonga,Joao Sousa,761 36 62 
3277,Fabio Fognini,Mikhail Youzhny,64 46 64 
3278,Liam Broady,Adrian Mannarino,26 64 60 
3279,Ricardas Berankis,Philipp Kohlschreiber,(W/O)
3280,Viktor Troicki,Guido Pella,763 46 64 
3281,Jan-Lennard Struff,Thomas Fabbiano,61 64 
3282,Damir Dzumhur,Marcos Baghdatis,64 764 
3283,Philipp Kohlschreiber,Evgeny Tyurnev,61 63 
3284,Damir Dzumhur,Paolo Lorenzi,75 75 
3285,Viktor Troicki,Andrey Kuznetsov,766 762 
3286,Jan-Lennard Struff,Borna Coric,36 62 64 
3287,Marcos Baghdatis,Horacio Zeballos,75 64 
3288,Ricardas Berankis,Daniel Masur,36 63 62 
3289,Liam Broady,Ernests Gulbis,63 60 
3290,Rogerio Dutra Silva,Radu Albot,26 62 62 
3291,Thomas Fabbiano,Daniil Medvedev,764 75 
3292,Guido Pella,Dusan Lajovic,764 63 
3293,Joao Sousa,Evgeny Donskoy,762 63 
3294,Mikhail Youzhny,John-Patrick Smith,766 64 
3295,Liam Broady,Radu Albot,61 26 764 
3296,John-Patrick Smith,Mikhail Elgin,764 62 
3297,Daniel Masur,Alexey Vatutin,62 62 
3298,Ernests Gulbis,Ivan Nedelko,62 61 
3299,Radu Albot,Alexander Kudryavtsev,75 75 
3300,John-Patrick Smith,Ivan Gakhov,62 60 
3301,Alexey Vatutin,Evgeny Karlovskiy,75 60 
3302,Ernests Gulbis,Alexander Vasilenko,46 63 62 
3303,Daniel Masur,Teymuraz Gabashvili,36 61 75 
3304,Liam Broady,Filip Horansky,63 61 
3305,Mikhail Elgin,Petr Michnev,762 64 
3306,Ivan Nedelko,Pedja Krstin,63 64 
3307,Denis Istomin,Marcos Baghdatis,32 (RET)
3308,Denis Istomin,Yuichi Sugita,62 674 60 
3309,Marcos Baghdatis,Guido Pella,57 64 62 
3310,Yuichi Sugita,Dusan Lajovic,62 64 
3311,Marcos Baghdatis,Yen-Hsun Lu,63 62 
3312,Denis Istomin,Jared Donaldson,26 75 765 
3313,Guido Pella,Taylor Fritz,63 763 
3314,Guido Pella,Dominic Thiem,766 64 
3315,Dusan Lajovic,Albert Ramos-Vinolas,62 63 
3316,Denis Istomin,Karen Khachanov,63 62 
3317,Yen-Hsun Lu,Andrey Rublev,62 61 
3318,Yuichi Sugita,Thiago Monteiro,64 61 
3319,Jared Donaldson,Kyle Edmund,60 16 64 
3320,Marcos Baghdatis,Peter Gojowczyk,57 63 62 
3321,Taylor Fritz,Nikoloz Basilashvili,63 36 61 
3322,Yuichi Sugita,Mate Pavic,61 (RET)
3323,Kyle Edmund,Bernard Tomic,64 62 
3324,Nikoloz Basilashvili,Viktor Troicki,63 26 62 
3325,Peter Gojowczyk,Leonardo Mayer,62 62 
3326,Marcos Baghdatis,Vasek Pospisil,674 765 64 
3327,Jared Donaldson,Stefanos Tsitsipas,672 75 75 
3328,Taylor Fritz,Di Wu,75 61 
3329,Denis Istomin,Jan-Lennard Struff,63 763 
3330,Dusan Lajovic,Adrian Menendez-Maceiras,63 763 
3331,Yen-Hsun Lu,Mikael Ymer,62 63 
3332,Thiago Monteiro,Yibing Wu,16 766 62 
3333,Guido Pella,Borna Coric,64 762 
3334,Taylor Fritz,Marco Chiudinelli,64 62 
3335,Stefanos Tsitsipas,Marcos Giron,61 62 
3336,Adrian Menendez-Maceiras,Chuhan Wang,60 64 
3337,Mate Pavic,Zihao Xia,64 768 
3338,Taylor Fritz,Aisam-Ul-Haq Qureshi,63 64 
3339,Stefanos Tsitsipas,Fajing Sun,64 62 
3340,Adrian Menendez-Maceiras,Rigele Te,64 61 
3341,Mate Pavic,Yasutaka Uchiyama,63 57 764 
3342,Marcos Giron,Takuto Niki,62 75 
3343,Marco Chiudinelli,Oliver Marach,75 10 (RET)
3344,Chuhan Wang,Rubin Statham,62 62 
3345,Zihao Xia,Michael Venus,766 764 
3346,David Goffin,Alexandr Dolgopolov,64 675 63 
3347,David Goffin,Henri Laaksonen,767 57 63 
3348,Alexandr Dolgopolov,Damir Dzumhur,63 64 
3349,Damir Dzumhur,Alexander Zverev,64 75 
3350,David Goffin,Donald Young,62 63 
3351,Alexandr Dolgopolov,Dudi Sela,63 46 10 (RET)
3352,Henri Laaksonen,Zhizhen Zhang,64 36 62 
3353,Alexander Zverev,Steve Darcis,46 765 765 
3354,David Goffin,Evgeny Donskoy,765 63 
3355,Dudi Sela,Mischa Zverev,63 57 62 
3356,Zhizhen Zhang,Paolo Lorenzi,46 63 764 
3357,Alexandr Dolgopolov,Sergiy Stakhovsky,765 64 
3358,Damir Dzumhur,Lukas Lacko,64 63 
3359,Donald Young,Jeremy Chardy,765 64 
3360,Henri Laaksonen,Marius Copil,46 64 63 
3361,Alexandr Dolgopolov,Lloyd Harris,63 64 
3362,Damir Dzumhur,John Millman,64 75 
3363,Henri Laaksonen,Joao Sousa,63 60 
3364,Donald Young,Nicola Kuhn,75 764 
3365,Jeremy Chardy,Alessandro Giannessi,766 64 
3366,Marius Copil,Malek Jaziri,64 36 63 
3367,Steve Darcis,Ze Zhang,75 763 
3368,Evgeny Donskoy,Akira Santillan,36 62 765 
3369,Lukas Lacko,Marcel Granollers,63 64 
3370,Dudi Sela,Matthew Ebden,60 768 
3371,Sergiy Stakhovsky,Nicolas Kicker,63 63 
3372,Zhizhen Zhang,Rogerio Dutra Silva,64 61 
3373,Lloyd Harris,Nicolas Jarry,46 64 64 
3374,Lukas Lacko,Marc Polmans,63 64 
3375,Matthew Ebden,Max Purcell,61 676 61 
3376,Zhizhen Zhang,Hiroki Moriya,765 63 
3377,Max Purcell,Radu Albot,64 40 (RET)
3378,Nicolas Jarry,Andre Sa,62 75 
3379,Lukas Lacko,Yusuke Takahashi,63 64 
3380,Hiroki Moriya,Yannick Hanfmann,62 63 
3381,Matthew Ebden,Franko Skugor,63 64 
3382,Lloyd Harris,Reilly Opelka,64 46 64 
3383,Marc Polmans,Lukas Rosol,63 64 
3384,Zhizhen Zhang,Yan Bai,64 63 
3385,Rafael Nadal,Nick Kyrgios,62 61 
3386,Rafael Nadal,Grigor Dimitrov,63 46 61 
3387,Nick Kyrgios,Alexander Zverev,63 75 
3388,Rafael Nadal,John Isner,64 760 
3389,Alexander Zverev,Andrey Rublev,62 63 
3390,Grigor Dimitrov,Roberto Bautista Agut,765 46 62 
3391,Nick Kyrgios,Steve Darcis,60 30 (RET)
3392,Rafael Nadal,Karen Khachanov,63 63 
3393,Alexander Zverev,Fabio Fognini,64 62 
3394,Grigor Dimitrov,Juan Martin del Potro,766 75 
3395,Roberto Bautista Agut,Aljaz Bedene,60 40 (RET)
3396,John Isner,Leonardo Mayer,60 63 
3397,Andrey Rublev,Tomas Berdych,16 64 61 
3398,Nick Kyrgios,Mischa Zverev,36 62 62 
3399,Steve Darcis,Dusan Lajovic,63 64 
3400,Rafael Nadal,Lucas Pouille,46 766 75 
3401,Alexander Zverev,Kyle Edmund,63 763 
3402,Grigor Dimitrov,Damir Dzumhur,61 36 63 
3403,Steve Darcis,Pablo Carreno Busta,60 64 
3404,Roberto Bautista Agut,Ze Zhang,61 63 
3405,John Isner,Malek Jaziri,62 63 
3406,Tomas Berdych,Jared Donaldson,63 06 62 
3407,Nick Kyrgios,Nikoloz Basilashvili,61 62 
3408,Aljaz Bedene,Marcel Granollers,64 62 
3409,Juan Martin del Potro,Pablo Cuevas,764 64 
3410,Fabio Fognini,Robin Haase,764 62 
3411,Karen Khachanov,Di Wu,64 62 
3412,Dusan Lajovic,Fernando Verdasco,61 36 63 
3413,Leonardo Mayer,Paolo Lorenzi,766 57 64 
3414,Andrey Rublev,Jack Sock,36 61 62 
3415,Mischa Zverev,Jan-Lennard Struff,57 64 64 
3416,Marcel Granollers,Borna Coric,63 64 
3417,Dusan Lajovic,Rogerio Dutra Silva,63 57 63 
3418,Steve Darcis,Peter Polansky,57 766 64 
3419,Malek Jaziri,Sergiy Stakhovsky,64 767 
3420,Borna Coric,Marcos Giron,63 64 
3421,Rogerio Dutra Silva,Rigele Te,60 64 
3422,Steve Darcis,Fajing Sun,64 62 
3423,Malek Jaziri,Zhizhen Zhang,64 61 
3424,Dusan Lajovic,Alessandro Giannessi,63 36 63 
3425,Marcel Granollers,Jeremy Chardy,63 62 
3426,Sergiy Stakhovsky,Thiago Monteiro,674 75 63 
3427,Peter Polansky,Ivan Dodig,46 75 (RET)
3428,David Goffin,Adrian Mannarino,63 75 
3429,Adrian Mannarino,Marin Cilic,675 64 60 
3430,David Goffin,Diego Schwartzman,763 766 
3431,Marin Cilic,Ryan Harrison,62 60 
3432,David Goffin,Richard Gasquet,75 62 
3433,Diego Schwartzman,Steve Johnson,60 75 
3434,Adrian Mannarino,Yuichi Sugita,62 64 
3435,Marin Cilic,Yasutaka Uchiyama,63 64 
3436,Yuichi Sugita,Milos Raonic,10 (RET)
3437,David Goffin,Matthew Ebden,26 75 761 
3438,Ryan Harrison,Kevin Anderson,63 16 762 
3439,Diego Schwartzman,Bernard Tomic,63 61 
3440,Richard Gasquet,Yen-Hsun Lu,60 765 
3441,Steve Johnson,Alexandr Dolgopolov,62 64 
3442,Adrian Mannarino,Jiri Vesely,63 62 
3443,Marin Cilic,Stefanos Tsitsipas,63 62 
3444,Steve Johnson,Dominic Thiem,46 765 64 
3445,Milos Raonic,Viktor Troicki,63 64 
3446,David Goffin,Feliciano Lopez,75 61 
3447,Kevin Anderson,Gilles Simon,62 766 
3448,Richard Gasquet,Sam Querrey,64 762 
3449,Jiri Vesely,Albert Ramos-Vinolas,62 26 63 
3450,Diego Schwartzman,Donald Young,62 75 
3451,Alexandr Dolgopolov,Daniil Medvedev,61 62 
3452,Matthew Ebden,Ivo Karlovic,64 63 
3453,Ryan Harrison,Yusuke Takahashi,64 46 64 
3454,Yen-Hsun Lu,Taro Daniel,61 63 
3455,Adrian Mannarino,Go Soeda,75 763 
3456,Yuichi Sugita,Benoit Paire,64 (RET)
3457,Bernard Tomic,Joao Sousa,63 36 63 
3458,Yasutaka Uchiyama,Franko Skugor,63 36 61 
3459,Stefanos Tsitsipas,Frances Tiafoe,64 62 
3460,Yusuke Takahashi,Vasek Pospisil,761 62 
3461,Franko Skugor,Radu Albot,16 75 63 
3462,Matthew Ebden,Yannick Hanfmann,63 61 
3463,Frances Tiafoe,Kaito Uesugi,62 64 
3464,Vasek Pospisil,Yosuke Watanuki,765 765 
3465,Matthew Ebden,Nicolas Kicker,64 764 
3466,Radu Albot,Reilly Opelka,75 674 763 
3467,Franko Skugor,Nicolas Jarry,64 64 
3468,Stefanos Tsitsipas,Tatsuma Ito,46 765 62 
3469,Yusuke Takahashi,Adrian Menendez-Maceiras,61 62 
3470,Yannick Hanfmann,Sho Shimabukuro,63 64 
3471,Roger Federer,Rafael Nadal,64 63 
3472,Rafael Nadal,Marin Cilic,75 763 
3473,Roger Federer,Juan Martin del Potro,36 63 63 
3474,Rafael Nadal,Grigor Dimitrov,64 674 63 
3475,Roger Federer,Richard Gasquet,75 64 
3476,Marin Cilic,Albert Ramos-Vinolas,63 64 
3477,Juan Martin del Potro,Viktor Troicki,46 61 64 
3478,Rafael Nadal,Fabio Fognini,63 61 
3479,Roger Federer,Alexandr Dolgopolov,64 62 
3480,Juan Martin del Potro,Alexander Zverev,36 765 64 
3481,Marin Cilic,Steve Johnson,761 64 
3482,Grigor Dimitrov,Sam Querrey,63 763 
3483,Viktor Troicki,John Isner,64 764 
3484,Richard Gasquet,Gilles Simon,75 675 63 
3485,Albert Ramos-Vinolas,Jan-Lennard Struff,764 64 
3486,Rafael Nadal,Jared Donaldson,62 61 
3487,Roger Federer,Diego Schwartzman,764 64 
3488,Alexander Zverev,Aljaz Bedene,40 (RET)
3489,Marin Cilic,Kyle Edmund,63 765 
